"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","5"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","2"
"LP Gas","3"
"Not Sated about Fuel","33"
"OthersFuel","0"
"Wood/FireWood","3598"
"Total","3641"
