"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","621"
"Male","533"
"Brahman - Tarai",""
"Female","15"
"Male","13"
"Chhetri",""
"Female","2151"
"Male","1836"
"Damai/Dholi",""
"Female","254"
"Male","212"
"Gharti/Bhujel",""
"Female","181"
"Male","158"
"Gurung",""
"Female","137"
"Male","109"
"Kami",""
"Female","430"
"Male","362"
"Limbu",""
"Female","3739"
"Male","3143"
"Magar",""
"Female","244"
"Male","229"
"Newar",""
"Female","290"
"Male","273"
"Others",""
"Female","18"
"Male","16"
"Rai",""
"Female","14"
"Male","17"
"Sarki",""
"Female","296"
"Male","246"
"Sherpa",""
"Female","119"
"Male","108"
"Sunuwar",""
"Female","31"
"Male","21"
"Tamang",""
"Female","356"
"Male","277"
"Thakuri",""
"Female","116"
"Male","112"
"Undefined Others",""
"Female","18"
"Male","9"
"Yadav",""
"Female","6"
"Male","5"
