"Population by Five Years Age Group","Number"
"0-4",""
"Female","702"
"Male","743"
"10-14",""
"Female","1090"
"Male","1115"
"15-19",""
"Female","1122"
"Male","1030"
"20-24",""
"Female","850"
"Male","521"
"25-29",""
"Female","658"
"Male","396"
"30-34",""
"Female","546"
"Male","316"
"35-39",""
"Female","539"
"Male","299"
"40-44",""
"Female","570"
"Male","395"
"45-49",""
"Female","452"
"Male","396"
"50-54",""
"Female","417"
"Male","418"
"55-59",""
"Female","335"
"Male","318"
"5-9",""
"Female","918"
"Male","956"
"60-64",""
"Female","248"
"Male","235"
"65-69",""
"Female","213"
"Male","201"
"70-74",""
"Female","147"
"Male","148"
"75+",""
"Female","229"
"Male","192"
