"Number of households by type of outer wall","Number"
"BambooWall","1445"
"Cement Bonded Bricks/Stone Wall","1136"
"Mud Bonded Bricks/Stone Wall","147"
"Not stated","28"
"Others","694"
"Unbaked Bricks","7"
"Wood/Planks","2246"
"Total","5703"
